Event Number,Category,Xpos,Ypos,Smeared DC Count,Smeared Background Count,True X,True Y,True Energy per Nucleon,True Z,True Height,Phi,Epsilon,Trigger,Dangle,Theta,Background
1,lst,0.0,0.0,1922,488933,41.59052457174417,35.77475696591816,3012.49957423699,26,37950.3977716532,1.3427007096646786,3.493072469341723,True,2.2620968186291766,1.4864195988942832
1,mst,60.0,60.0,174,114113,41.59052457174417,35.77475696591816,3012.49957423699,26,37950.3977716532,1.3427007096646786,3.493072469341723,True,5.6349245149793585,0.8289719464342812
1,mst,60.0,-60.0,54,42808,41.59052457174417,35.77475696591816,3012.49957423699,26,37950.3977716532,1.3427007096646786,3.493072469341723,True,3.3210606662414923,2.5751198841291636
1,mst,-60.0,60.0,57,38305,41.59052457174417,35.77475696591816,3012.49957423699,26,37950.3977716532,1.3427007096646786,3.493072469341723,True,1.3383122273112424,2.8670802354408833
1,mst,-60.0,-60.0,0,28528,41.59052457174417,35.77475696591816,3012.49957423699,26,37950.3977716532,1.3427007096646786,3.493072469341723,False,2.3146765147722324,3.7360488288484843
2,lst,0.0,0.0,163,195104,-2.8322448296516143,20.07963531523413,1071.5242603257907,26,36591.1221898265,1.3359895660747279,1.1003740515571185,True,3.2612881466868564,0.5862464252205244
2,mst,60.0,60.0,108,14363,-2.8322448296516143,20.07963531523413,1071.5242603257907,26,36591.1221898265,1.3359895660747279,1.1003740515571185,True,5.287680409555926,2.169901338241672
2,mst,60.0,-60.0,0,12784,-2.8322448296516143,20.07963531523413,1071.5242603257907,26,36591.1221898265,1.3359895660747279,1.1003740515571185,False,3.81387105656373,2.9857818565730314
2,mst,-60.0,60.0,224,23862,-2.8322448296516143,20.07963531523413,1071.5242603257907,26,36591.1221898265,1.3359895660747279,1.1003740515571185,True,0.953209601644351,1.9387658175330564
2,mst,-60.0,-60.0,114,15404,-2.8322448296516143,20.07963531523413,1071.5242603257907,26,36591.1221898265,1.3359895660747279,1.1003740515571185,True,2.5222538186724814,2.8194533256234173
3,lst,0.0,0.0,5401,110536,-63.812686168220324,-41.24889567456698,1305.996911194887,26,32495.023840531056,1.5598886001640062,1.2042847226615219,True,5.285037495342504,1.7248521721245618
3,mst,60.0,60.0,0,10366,-63.812686168220324,-41.24889567456698,1305.996911194887,26,32495.023840531056,1.5598886001640062,1.2042847226615219,False,5.4019959635378765,3.613448028054688
3,mst,60.0,-60.0,27,9528,-63.812686168220324,-41.24889567456698,1305.996911194887,26,32495.023840531056,1.5598886001640062,1.2042847226615219,True,4.5650228356045925,2.833453890712971
3,mst,-60.0,60.0,25,24733,-63.812686168220324,-41.24889567456698,1305.996911194887,26,32495.023840531056,1.5598886001640062,1.2042847226615219,True,6.2383263946902945,2.298047197661635
3,mst,-60.0,-60.0,23,41292,-63.812686168220324,-41.24889567456698,1305.996911194887,26,32495.023840531056,1.5598886001640062,1.2042847226615219,True,3.3489291857840358,0.42648302704785856
4,lst,0.0,0.0,1986,85016,-51.43365961714336,-3.27360652541509,809.9440428025747,26,28182.224450435468,1.8701622405954594,0.9360917269229749,True,4.782920253036269,0.9717819728607897
4,mst,60.0,60.0,98,7637,-51.43365961714336,-3.27360652541509,809.9440428025747,26,28182.224450435468,1.8701622405954594,0.9360917269229749,True,5.245394683935524,2.3684625065282328
4,mst,60.0,-60.0,0,6716,-51.43365961714336,-3.27360652541509,809.9440428025747,26,28182.224450435468,1.8701622405954594,0.9360917269229749,False,4.256097704002234,2.3664016372807275
4,mst,-60.0,60.0,487,15358,-51.43365961714336,-3.27360652541509,809.9440428025747,26,28182.224450435468,1.8701622405954594,0.9360917269229749,True,0.11695560569060977,1.1439895181148305
4,mst,-60.0,-60.0,450,19516,-51.43365961714336,-3.27360652541509,809.9440428025747,26,28182.224450435468,1.8701622405954594,0.9360917269229749,True,2.992664810345956,1.053403206314292
