Detections,X,Y,Energy Per Nucleon,Z,Height,True X,True Y,True Energy per nucleon,True Z,True Height,Phi,Epsilon,Guess Log Likelihood,True Log Likelihood
4,-63.858479611023455,-25.952864474896103,850.7050117521964,28.0,23673.953743004622,-69.37723318456179,-29.167136158758538,879.493441499096,26,23630.623791519647,1.3366579600739619,1.4870230042061545,0.6801400691167515,1.1768381290316836
5,-26.24364654237405,-20.927118577063595,414.72612650522854,28.0,31443.078204234153,-16.035618611000046,-39.12074379125937,414.50018453776687,26,27600.067857354123,1.7999178588659381,3.745639601766786,1.6275084721160493,39.33707784891129
4,88.93178621426011,101.99218895146379,356.69335068616346,24.0,19449.360769077615,44.453929777199676,21.662958096623527,328.7108493181818,26,25008.98062784788,1.490386100466969,6.028422606046968,0.010808998458350053,9.500442068649201
5,-40.9774851417356,-29.8857073276086,740.3012235021382,29.0,35872.113057301234,-45.32352568619294,-11.116525757267425,821.1972505023524,26,24442.34577151873,1.8416772937071775,2.0807737551507146,5.150359410714123,14.753015894249382
4,-50.06081824038577,-32.37289170690991,563.7965071640344,29.0,27056.819395650993,-50.49691726249203,-28.920973900414353,570.9234237370192,26,27842.518466209873,1.3441794085704521,3.312883173876515,1.346278604985551,1.9063586489513797
4,23.777946032643513,-54.29389867009485,679.2915380083414,22.0,32752.978884726603,28.237399908859032,-56.38668429256397,678.5649669563119,26,29253.74595345501,1.420540156141315,4.287826599870212,1.2193984710891002,9.937832849490926
4,-43.74752251539911,29.669154682306214,703.2650156017723,24.0,34211.00994447981,-61.343586085287654,28.622812262570562,725.7681818029712,26,33206.66832810905,1.4261560342915438,1.5306215892929607,0.7474707997987405,0.988649549654526
4,36.39082877326666,40.34535620970132,404.19748393365626,26.0,31869.770662910214,84.01638570703653,40.26261863062783,410.6908560718302,26,22784.51231446671,1.8256003956148272,2.2093885480395725,1.9680859892663665,9.681929729768699
5,-2.5580171825504294,23.264654123073797,1270.3532891594557,23.0,29380.436162839636,-13.848236156839306,16.534014817436713,1334.5022709761122,26,32277.735310417745,1.558595844473487,0.8224479022949499,0.689625467480064,2.821083291987695
