Detections,X,Y,Energy Per Nucleon,Z,Height,True X,True Y,True Energy per nucleon,True Z,True Height,Phi,Epsilon,Theta,Guess Log Likelihood,Classifier,BDT
5,-33.00173610426748,-3.9908254938400773,326.08607859217364,26.0,21233.35306321952,-33.03646491529793,-3.5827475359768357,337.2747739041601,26,21334.6878482578,1.9366625447217725,4.176223094411244,21.704036675024554,22.164200197795253,0.0,0.99777682327117745
5,-36.12034715604574,-6.530672765825102,372.5626521927583,26.0,18880.041175666323,-36.91501183377463,-6.306735353163106,339.2941943606618,26,18671.576144290546,1.6644341694059774,2.077417610017217,23.34591389363959,24.342539230555758,0.0,0.99777682327117745
5,9.86102061233396e-05,-37.97429537502546,390.524933484988,26.0,20831.654047209107,0.08283915924053531,-36.571078196731264,460.25542517057283,26,21713.724670780703,1.2506670880777035,4.919659140084287,22.209250458683073,22.534657069160176,0.0,0.99777682327117745
5,-2.8897204856334042,-40.60418000575919,706.4988545346882,25.0,21808.62707242148,-2.232057383201777,-42.01360310005242,611.5537069600093,26,21289.3243315012,1.2284333449559335,4.527698353410498,25.18837905472469,25.468395267156893,1.0,0.0043679886240346466
5,22.395946010463206,-35.88256116658101,407.0297584525538,25.0,18155.727748491307,19.191111340778633,-33.4146433076869,385.9007629671172,26,18953.85850785312,1.233467795025305,5.302637133486185,23.06394678359493,27.45817382883797,1.0,0.0043679886240346466
5,-33.488124955632884,-27.110789118751995,388.7789318590776,26.0,20623.132295045714,-31.30106301294498,-25.293846770091378,521.555831981159,26,21648.63919837367,1.9413763551536993,5.807633506612003,24.707474430239472,23.06320993768395,0.0,0.99777682327117745
5,14.407479039908083,-26.62260158216111,288.72875941507164,26.0,19620.222840406263,15.810171091970204,-27.004079327957655,272.3799020889015,26,19297.413042009022,1.8221260576697018,1.0119777228890843,22.270096002632727,22.983515697133953,0.0,0.99777682327117745
5,5.378058222253458,31.799472705774235,440.1944719298864,26.0,19825.861668979825,6.340631512762116,34.08794038620644,415.0442640894157,26,19166.956809555533,1.4207758871211853,0.36610759377304253,22.432834266176542,23.684338470405237,1.0,0.0043679886240346466
5,46.0,10.000000000000057,571.6739262829999,26.0,20413.528301252372,44.044705845450096,9.453400273428088,678.746435169685,26,21126.45226690418,1.8686738299971692,2.6923222122578037,25.891571475285673,24.030761840833293,1.0,0.0043679886240346466
5,-1.271956288717206,49.88202566375725,358.23782497286334,26.0,19554.16012531438,-0.40045428645950665,47.69189133223611,378.53292128792197,26,19940.815751988284,1.943562783891436,4.410568841414471,22.07170994647572,469.2018527062569,0.0,0.99777682327117745
5,-1.0000086748142394,-44.87173495965661,232.03758800249955,26.0,17523.454682550306,-0.8300157202688752,-44.62046940771542,246.5472513072265,26,18212.228774134666,1.8345139348901038,0.6985278475608041,21.83706276296266,21.878760360660863,0.0,0.99777682327117745
5,2.8656108713203707,-40.80871556738356,403.61417872111815,26.0,21693.161466436643,2.237245201910355,-41.041643071264986,396.47572613645474,26,21953.258607237338,1.222873175032578,0.40877652918659113,21.697518497438523,21.999855777086623,1.0,0.0043679886240346466
5,27.45954175913124,24.859313043089458,398.6548372668627,26.0,19505.72946045206,26.737465761575635,24.712261636414894,408.5064645508089,26,19323.139770622256,1.3031156451725987,1.5079755440654428,22.25485481509031,22.394167946813468,0.0,0.99777682327117745
5,2.8657859480654224,-51.49825207504139,505.7742315839877,26.0,18163.077585497766,4.055904691088699,-49.64350268179611,545.9065363514547,26,17994.191940354696,1.540820175877616,0.8474883084130725,23.77173857513435,24.63232831058508,1.0,0.0043679886240346466
