Detections,X,Y,Energy Per Nucleon,Z,Height,True X,True Y,True Energy per nucleon,True Z,True Height,Phi,Epsilon,Guess Log Likelihood,True Log Likelihood
5,-1.0000086748142394,-44.87173495965661,232.03758800249955,26.0,17523.454682550306,-0.8300157202688752,-44.62046940771542,246.5472513072265,26,18212.228774134666,1.8345139348901038,0.6985278475608041,21.83706276296266,21.878760360660863
4,5.087442860926615,-7.602748395617823,629.6250514685651,25.0,25000.524364975274,6.43467573857879,-7.760008445542439,618.1359090273157,26,24702.319794931107,1.4993438804994395,6.2672220835582175,30.22896076674715,23.198207085943977
4,-42.90707613652671,-28.680584585725228,293.711850045,26.0,20000.0,-39.820249702310576,-29.594898962453172,379.74513499504343,26,21661.830522248994,1.7795866696497538,5.685249953433169,20.97502131987015,22.75508844985775
4,2.0251112000340186,-25.99205845535988,1684.8065351437551,26.0,22342.451760496224,2.6764029421618716,-23.178573737546074,1659.622592888108,26,22584.659463498385,1.5158823593189887,2.416175160523169,22.96103739783848,23.46010499498334
4,9.480831677929928,-7.502653298498785,399.80633058970767,26.0,20712.37656186102,7.79704076239662,-7.17753361412278,406.66351060325826,26,22505.305045464313,1.6816817418107994,0.1591570630259022,22.61776884659821,23.081512748621662
4,-39.6221257500207,47.31503306798896,616.2399160712773,21.0,18006.830920375472,-43.88368408468715,28.149398973832717,318.0763636576522,26,21371.658842108136,1.9031199481807972,5.945004287325916,20.45766769776155,20.64726498301502
4,21.085554844634885,-5.9252111706449,446.09034544838846,26.0,23417.99563735188,20.99657689814879,-7.750560714478269,438.55800560331215,26,23465.942210958863,1.306009142228105,1.6009077189590915,24.00030272073832,23.817854033113463
4,-3.3286404780042176,-0.35137139106331006,283.48151560879893,26.0,20054.880977117253,-3.8988614955756304,1.1313806929400982,287.3024543408117,26,20321.996964763795,1.806789301785315,2.5480128375673026,21.814133189258882,22.792073059101767
5,2.8656108713203707,-40.80871556738356,403.61417872111815,26.0,21693.161466436643,2.237245201910355,-41.041643071264986,396.47572613645474,26,21953.258607237338,1.222873175032578,0.40877652918659113,21.697518497438523,21.999855777086623
4,-3.024410673954719,1.2369357883840735,1089.7857710739418,26.0,19747.49929151226,-3.565413477206249,0.2386967660403343,1083.9427623968736,26,24165.185842052906,1.8578677031309798,3.012838228305775,22.645343999609395,23.440519014793608
4,-28.661417444015513,-27.534731032846935,244.45535971385416,26.0,21141.884410182338,-25.72619799654197,-26.484724080274844,396.82649059754436,26,24317.008627353487,1.8653630655673923,5.866104098237442,21.00243881601935,21.61122866868058
4,-4.1696106780098035,11.971927547401833,664.719545074064,26.0,23930.74221268542,-4.2697216132023925,10.287379785356222,667.7318694538693,26,24378.29365216077,1.28839543160281,1.3719359773951727,23.820838477040525,22.83243864272208
4,-27.743741631996784,36.27923459604483,246.41041646899546,26.0,20007.83363750862,-27.474701148871034,36.228100919741735,259.91746208158423,26,20686.628947828223,1.4411761989791878,2.2349887704468068,20.81103642220127,20.799558166712714
4,3.052283374765352,-6.608249470937551,363.3002530195101,26.0,19975.13312095722,3.242733634515531,-7.699413130394532,372.31792743370266,26,22275.29971063063,1.7438356959703976,4.9957388005695895,22.753931867976462,22.97854380334047
4,36.94214857632153,-21.854934138671354,614.7643012658816,26.0,19952.597662322987,37.042385035148556,-25.051770097986193,568.3800665583676,26,22236.93786868045,1.8336055666142332,3.516635227670359,20.584749196579708,23.763329475087772
4,-39.15677933544356,-19.98818395515366,397.5858997097632,26.0,21052.52143958641,-38.65027691768262,-19.66253867754304,376.55496425566594,26,20795.121297875838,1.1932216527964083,1.8978775723799206,20.797049350192736,21.284148700731038
4,-22.16159671191093,1.5139845127499143,587.4933062863076,25.0,25692.464939673693,-21.805073814500844,0.44097412674142333,569.1945054775254,26,25685.464874966267,1.895109563185211,4.353907537656824,20.828993735328368,23.13400031228707
5,27.45954175913124,24.859313043089458,398.6548372668627,26.0,19505.72946045206,26.737465761575635,24.712261636414894,408.5064645508089,26,19323.139770622256,1.3031156451725987,1.5079755440654428,22.25485481509031,22.394167946813468
4,-0.6483005904340757,2.0017654975338246,574.572393278897,26.0,25494.559155294028,-1.6954120025748978,0.6321532052599537,560.7815117931809,26,25329.482159097734,1.293720613797132,4.8976422323953175,22.38590103129718,23.084466041273117
4,-9.221726925251176,-0.3153337388582713,1448.1298040932948,25.0,28471.306433458667,-8.675103573653217,2.853050656941406,1436.960566839443,26,28444.676007520487,1.2166599562682674,4.985580392007911,26.199183102167808,27.97197480996965
4,-27.401494270375736,35.22854661000321,239.59394820255488,28.0,21003.622391310193,-26.351103442902243,33.61187856404305,489.12383200339224,26,25093.995380271605,1.8889750773724574,2.4106770924192107,20.772266809205092,22.61785338841038
4,-2.0587529837576426,-4.999064900786664,384.88201361465053,25.0,25000.016244215836,-1.1160574304671513,-7.379384199376517,329.50757938218914,26,23949.22584080026,1.328399034243339,5.7914006434648515,26.232747592531496,21.447624171792086
4,23.71658064890846,27.009977917104095,452.92709071852937,25.0,24701.04728290053,22.499266781277612,26.424573977818596,405.5189333077057,26,24236.74435565197,1.933641875710822,3.0591371486623777,21.32720493743858,22.90086152665475
4,-14.049689093472296,-17.049369044549167,856.647305238176,26.0,24838.53063375807,-14.180380746415494,-18.0477338782471,843.5199783008349,26,24880.439819599153,1.9011545972526227,5.92358356123005,22.433379013707054,22.685944996866965
4,-12.67702322052844,7.62886409299108,816.4107151416873,26.0,19999.905519157204,-14.213529249750422,8.886016408136072,821.0592934660128,26,25811.013312476694,1.214968869032781,4.110650405199155,23.341160941969065,23.903476281735493
4,4.266629845895125,11.33113814212362,1022.0518333650787,26.0,17720.615916741666,2.546399528515906,8.761271499936015,1019.5804656693882,26,23633.915018921267,1.5473903038137753,5.981854701528981,22.515663703544305,26.987933529456313
4,-12.178476128759485,4.451122857881444,727.8006927745545,26.0,18576.06509569186,-11.161763735119592,4.8771187557465225,745.8245212870389,26,23854.42828874102,1.8163039073696785,2.0482989113519876,22.33281531168086,24.16290538411522
